POSTCODE,Consumption (kWh)
BR1 3PE,164829.1
BR1 3PF,137058.6
BR1 3PG,67371.8
BR1 3PH,180234.2
BR1 3PJ,134937.8
BR1 3PL,51294.5
BR1 3PN,121467.2
BR1 3PQ,132330.7
BR1 3PR,130099.7
BR1 3PS,85754.2
BR1 3PT,26407.6
BR1 3PU,53252.3
BR1 3PW,171804.2
BR1 3PY,142201.2
BR1 3PZ,129002.1
BR1 3QA,13233.0
BR1 3QD,88059.1
BR1 3QE,145888.5
BR1 3QF,135595.1
BR1 3QG,131458.6
BR1 3QJ,201153.7
BR1 3QN,85215.8
BR1 3QP,148423.5
BR1 3QQ,50825.7
BR1 3QR,52755.3
BR1 3QW,102271.0
BR1 3QX,21043.1
BR1 3QY,59450.7
BR1 3QZ,64658.4
BR1 3RB,32353.5
BR1 3RD,175040.4
BR1 3RG,175466.1
BR1 3RH,97790.5
BR1 3RJ,104280.5
BR1 3RL,91017.1
BR1 3RN,153844.7
BR1 3RP,78194.5
BR1 3RQ,118244.0
BR1 3RR,60984.9
BR1 3RS,113821.8
BR1 3RT,59508.1
BR1 3RU,107203.3
BR1 3RW,73288.1
BR1 3RX,50062.1
BR1 3RZ,38493.2
BR1 3SB,100094.6
BR1 3SD,25834.1
BR1 3SE,48010.5
BR1 3SF,60215.3
BR1 3SJ,184020.4
BR1 3SL,112633.8
BR1 3SN,28576.1
BR1 3SR,17038.8
BR1 3SS,35826.9
BR1 3ST,33532.3
BR1 3SU,81892.2
BR1 3SW,50509.0
BR1 3SY,54932.8
BR1 3TB,34603.3
BR1 3TD,17054.7
BR1 3TH,22504.6
BR1 3TJ,28567.4
BR1 3TL,20810.1
BR1 3TN,86521.7
BR1 3TQ,10505.0
BR1 3TS,25419.1
BR1 3TT,49138.4
BR1 3TW,59666.7
BR1 3TX,21772.4
BR1 3TY,15277.6
BR1 3UB,23877.7
BR1 3UD,40579.1
BR1 3UE,21540.2
BR1 3WB,42342.4
BR1 3WU,49651.0
BR1 4AA,258174.2
BR1 4AB,18602.4
BR1 4AD,136374.7
BR1 4AF,30262.6
BR1 4AG,77862.6
BR1 4AH,14810.6
BR1 4AJ,73332.8
BR1 4AL,72818.1
BR1 4AN,183250.1
BR1 4AP,96144.1
BR1 4AQ,10960.9
BR1 4AR,76580.4
BR1 4AS,152956.9
BR1 4AW,153811.1
BR1 4AY,162893.1
BR1 4BA,83442.4
BR1 4BD,17203.3
BR1 4BE,24602.1
BR1 4BG,71062.0
BR1 4BH,143652.1
BR1 4BJ,146668.8
BR1 4BL,149395.5
BR1 4BN,137194.7
BR1 4BP,164276.6
BR1 4BQ,82650.3
BR1 4BS,174259.5
BR1 4BU,15476.7
BR1 4BY,175831.7
BR1 4DA,85183.0
BR1 4DB,161478.5
BR1 4DD,114330.3
BR1 4DE,134108.1
BR1 4DG,83708.0
BR1 4DH,150777.3
BR1 4DJ,201665.2
BR1 4DN,119056.9
BR1 4DP,38954.8
BR1 4DQ,102031.6
BR1 4DR,147472.1
BR1 4DS,60814.4
BR1 4DT,26766.3
BR1 4DU,94063.2
BR1 4DW,36995.4
BR1 4DX,27990.8
BR1 4DY,90080.4
BR1 4DZ,160743.0
BR1 4EA,163435.8
BR1 4EB,164077.2
BR1 4ED,36530.5
BR1 4EE,170483.0
BR1 4EF,92384.2
BR1 4EG,129386.3
BR1 4EH,122416.9
BR1 4EL,112030.2
BR1 4EN,124708.2
BR1 4EP,176269.4
BR1 4ER,45322.6
BR1 4ES,52579.1
BR1 4ET,89344.1
BR1 4EU,153280.8
BR1 4EX,132039.4
BR1 4EY,68114.3
BR1 4EZ,125542.1
BR1 4FD,28093.2
BR1 4HB,174467.9
BR1 4HD,116640.8
BR1 4HE,119461.1
BR1 4HF,193782.2
BR1 4HG,206791.7
BR1 4HH,22300.9
BR1 4HJ,39602.7
BR1 4HL,193243.4
BR1 4HN,128736.3
BR1 4HR,105476.0
BR1 4HS,169363.5
BR1 4HT,75595.2
BR1 4HW,170928.7
BR1 4HX,110587.3
BR1 4HY,88095.0
BR1 4HZ,79482.9
